보고일자,지역,위도,경도,해파리크기,밀집여부
2016-12-01,경남 통영시 욕지도 근해,34.589,128.251,,
2017-05-18,부산 광안리 근해,35.14,129.122,,
2016-12-01,경남 통영 산양읍 미남리 근해,34.759,128.395,,
2016-12-01,"경남 통영시 욕지도, 거제도 사이",34.659,128.412,,
2016-12-01,신노량항 부근,34.92,127.78,,
2016-12-01,경남 남해 근해,34.935,127.983,,
2016-12-01,경남 진해시 행암만 근해,35.123,128.69,,
2016-12-01,경남 창원시 진해구 잠도 근해,35.066,128.674,10,
2016-12-01,부산 영도 근해,35.071,129.108,,
2016-12-01,부산 고리원자력 발전소 근해,35.301,129.284,,
2016-12-01,부산 해운대 동백섬 근해,35.153,129.158,,
2016-12-01,부산 오륙도 송정 사이,35.098,129.174,,
2016-12-01,부산 해운대구 청사포 근해,35.147,129.221,,
2016-12-01,부산 해운대 청사포 근해,35.151,129.228,,
2016-12-01,부산 가덕도 근해,35.036,128.863,,
2016-12-01,부산 기장  동수 앞바다,35.152,129.196,,
2016-12-01,부산 오륙도 근해,35.088,129.136,,
2016-12-01,울산 동구 근해,35.51,129.467,,
2016-12-01,경북 포항 영일만 근해,36.058,129.495,,
2016-12-01,경북 감포 근해,35.847,129.552,,
2016-12-01,경북 경주시 감포 근해,35.822,129.537,,
2016-12-01,경북 포항시 82-4해구,36.282,129.621,,
2016-12-01,경북 울진 원자력발전소 근해,37.13,129.401,15,
2016-12-01,경북 울진 오산항 근해,36.806,129.479,,
2016-12-01,경북 울진 근해,37.012,129.454,,
2016-12-01,경북 포항 북구 월포 근해,36.201,129.387,,
2016-12-01,경북 포항시 흥해 근해,36.135,129.419,,
2016-12-01,경북 포항시 구룡포항 근해,35.978,129.589,,
2016-12-01,경북 포항시 흥해 칠포만 근해,36.161,129.419,,
2016-12-01,경북 울진 사동 앞바다,37.047,129.427,10,
2016-12-01,강원도 양양군 낙산앞 남대천 하류,38.122,128.652,,
2016-12-01,제주도 차귀도 근해,33.306,126.16,,
2016-12-01,제주도 가파도 근해,33.158,126.299,,
2016-12-01,경기도 화성시 우정읍 국화리,37.068,126.561,,
2016-12-01,경기도 화성시 서신면 백미리 도리도마을어장,37.143,126.636,,
2016-12-01,경기도 화성시 서신면 궁평 앞바다,37.098,126.604,,
2016-12-01,"경기도 화성시 우정읍 입파도 ,국화도, 육도 근처해역",37.067,126.54,,
2016-12-01,경기도 화성시 우정읍 입파도 근해,37.107,126.544,,
2016-12-01,경기도 화성시 단원구 풍도근해,37.112,126.401,,
2016-12-01,경기도 안산시 대부도 근해(옹진군-바로옆해역),37.285,126.516,,
2016-12-01,충남 서산 팔봉면 가로림만 내권,37.311,126.675,,
2016-12-01,충남 서산 팔봉면 가로림 근해,36.947,126.353,,
2016-12-01,충남 부석면 천수만 근해,36.515,126.419,,
2016-12-01,충남 서산 팔봉면 가로리만 일대,36.925,126.328,,
2016-12-01,전북 군산시 비응도 군산해역,35.98,126.513,,
2016-12-01,전북 군산시 나운동 밖 해역,35.989,126.647,,
2016-12-01,전북 군산시 옥도면 야미도 근해,35.862,126.48,,
2016-12-01,전북 군산시 비응도 새만금 내측,35.826,126.436,,
2016-12-08,경북 울진군 후포 해수욕장 앞바다,36.665,129.461,,
2016-12-01,인천 옹진군 북도면 장봉도 밑 날가지도 근해,37.512,126.33,,
2016-12-01,전북 군산시 옥도면 신시도리 새만금 내측,35.844,126.59,,
2016-12-01,전북 고창군 해리면 광승리 근해,35.513,126.469,,
